variant,model,seed,same_target_as_baseline,churn_vs_baseline,d_common_acc,d_common_auc,d_common_ece,d_common_pred_pos_rate,d_common_sex_tpr_gap
cleveland_drop_any,hgb,8,True,0.06666666666666667,0.0,-0.018849206349206393,0.006415217324520134,0.04444444444444445,-0.19999999999999996
cleveland_drop_any,hgb,9,True,0.08888888888888889,0.022222222222222143,0.01636904761904756,-0.023881958016344407,-0.022222222222222254,0.0
multi_site_impute_any,logreg,0,True,0.06666666666666667,-0.022222222222222254,-0.03621031746031733,0.027010020241276828,-0.022222222222222254,0.06874999999999998
multi_site_impute_any,logreg,1,True,0.044444444444444446,0.0,-0.011408730158730118,0.0031227019509885434,0.0,0.0
multi_site_impute_any,logreg,2,True,0.044444444444444446,0.0,-0.01041666666666663,0.0007548500066775904,-0.0222222222222222,-0.03125
multi_site_impute_any,logreg,3,True,0.06666666666666667,-0.0444444444444444,-0.009920634920634996,5.94995205989296e-05,0.06666666666666671,0.03125
multi_site_impute_any,logreg,4,True,0.044444444444444446,0.0,-0.005456349206349076,-0.01886852606657205,0.0,0.0
multi_site_impute_any,logreg,5,True,0.044444444444444446,-0.022222222222222143,0.0,0.00638805118981195,-0.04444444444444445,0.03749999999999998
multi_site_impute_any,logreg,6,True,0.05555555555555555,-0.011111111111111183,-0.013392857142857206,0.012407534519354793,-0.011111111111111127,-0.03125
multi_site_impute_any,logreg,7,True,0.044444444444444446,-0.022222222222222254,-0.01984126984126977,-0.04809344394747605,0.0222222222222222,-0.13124999999999998
multi_site_impute_any,logreg,8,True,0.044444444444444446,0.0,-0.028273809523809534,0.023432702751884277,0.0,0.13124999999999998
multi_site_impute_any,logreg,9,True,0.03333333333333333,-0.011111111111111183,-0.007440476190476275,0.011095659786076295,-0.03333333333333338,0.06874999999999998
multi_site_impute_any,rf,0,True,0.044444444444444446,-0.022222222222222254,-0.013392857142856984,0.022437097004010156,0.022222222222222254,-0.13124999999999998
multi_site_impute_any,rf,1,True,0.022222222222222223,-0.022222222222222143,-0.010912698412698485,-0.0032293098645726215,0.022222222222222254,0.0
multi_site_impute_any,rf,2,True,0.044444444444444446,0.0,-0.015376984126984183,0.018821694957295534,0.0,0.0
multi_site_impute_any,rf,3,True,0.06666666666666667,-0.04444444444444451,-0.0044642857142858094,-0.007645397256597963,0.0444444444444444,0.13124999999999998
multi_site_impute_any,rf,4,True,0.044444444444444446,-0.022222222222222254,-0.007440476190476275,0.014013642514241406,0.0,-0.03125
multi_site_impute_any,rf,5,True,0.022222222222222223,-0.022222222222222254,-0.009424603174603141,0.03620643754881128,0.022222222222222254,0.0
