variant,outcome,mean,sd,min,max,n,cohen_d,wilcoxon_p,model
V4_dedup,churn_vs_base,0.01985,0.0010694624818103728,0.018,0.02075,5,,,hgb
V5_uniform,d_common_acc,-0.0003666666666666633,0.002362025966552165,-0.005750000000000033,0.003750000000000031,15,-0.15523396942239565,0.6598746551418473,
V5_uniform,d_common_acc,-0.00019999999999997797,0.0023809136901618223,-0.0024999999999999467,0.003750000000000031,5,,,logreg
V5_uniform,d_common_acc,0.00020000000000002237,0.0014937369246289655,-0.0020000000000000018,0.0017500000000000293,5,,,rf
V5_uniform,d_common_acc,-0.0011000000000000343,0.0032432622465659463,-0.005750000000000033,0.0024999999999999467,5,,,hgb
V5_uniform,d_common_auc,0.00016679312156824276,0.000807212887430757,-0.001626710492450334,0.0020364042660431236,15,0.2066284175654348,0.27685546875,
V5_uniform,d_common_auc,0.00020523228380233682,0.00019653848739046342,-0.00011327320693199638,0.0004088559540150749,5,,,logreg
V5_uniform,d_common_auc,3.515490948862166e-05,0.0006082304173952177,-0.0009080288585276985,0.0006481372254631967,5,,,rf
V5_uniform,d_common_auc,0.00025999217141376986,0.001355594824548784,-0.001626710492450334,0.0020364042660431236,5,,,hgb
V5_uniform,d_common_ece,0.00110242301011362,0.002105065267829752,-0.002698072554036788,0.0035355032837946707,15,0.5237001564565165,0.072998046875,
V5_uniform,d_common_ece,0.0005616379367161982,0.002345289892693338,-0.002698072554036788,0.002990884619015836,5,,,logreg
V5_uniform,d_common_ece,0.0020205020784592317,0.0016559489114694498,-0.0005710502819295735,0.0035355032837946707,5,,,rf
V5_uniform,d_common_ece,0.0007251290151654294,0.0023811577479778447,-0.002007334768891476,0.0031951818510754775,5,,,hgb
V5_uniform,d_sex_dp_diff,0.0001335449362252402,0.005517649118021897,-0.009000176335743265,0.010537824016928266,15,0.024203231008121204,0.803955078125,
V5_uniform,d_sex_dp_diff,8.181978487039609e-05,0.0030446993632846603,-0.004880973373302788,0.002630929289366979,5,,,logreg
V5_uniform,d_sex_dp_diff,-0.000665843766531471,0.0037034623714103884,-0.005967201551754536,0.0029977076353376875,5,,,rf
V5_uniform,d_sex_dp_diff,0.0009846587903367954,0.009047769768669004,-0.009000176335743265,0.010537824016928266,5,,,hgb
V5_uniform,d_sex_tpr_gap,-0.0012394038689928833,0.018798856140638233,-0.04543194065031231,0.031963812495316435,15,-0.06592974911455463,1.0,
V5_uniform,d_sex_tpr_gap,0.0004836808796179204,0.011248416146086113,-0.018447997493034274,0.01164240314460685,5,,,logreg
V5_uniform,d_sex_tpr_gap,-0.0011145097451478402,0.006408015737349184,-0.0055248618784530246,0.009816678134218049,5,,,rf
V5_uniform,d_sex_tpr_gap,-0.0030873827414487297,0.032577605564546315,-0.04543194065031231,0.031963812495316435,5,,,hgb
V5_uniform,d_race_tpr_gap,-0.016769005847953215,0.02945089813865616,-0.08998538011695911,0.032383040935672625,15,-0.5693886063849047,0.03812774421329094,
V5_uniform,d_race_tpr_gap,-0.006418128654970756,0.021965699214116768,-0.030994152046783685,0.021125730994152048,5,,,logreg
V5_uniform,d_race_tpr_gap,-0.002850877192982426,0.022417101025448097,-0.023318713450292405,0.032383040935672625,5,,,rf
V5_uniform,d_race_tpr_gap,-0.041038011695906464,0.030633740104603877,-0.08998538011695911,-0.005482456140350922,5,,,hgb
V5_uniform,churn_vs_base,0.012266666666666665,0.006327707400977147,0.0055,0.024,15,1.9385641416940997,,
V5_uniform,churn_vs_base,0.0064,0.000675462804305315,0.0055,0.00725,5,,,logreg
V5_uniform,churn_vs_base,0.01,0.0013346347815039138,0.00825,0.012,5,,,rf
V5_uniform,churn_vs_base,0.0204,0.0024018222248950896,0.01725,0.024,5,,,hgb
