case,variant,model,seed,n_train,n_owntest,pos_rate_train,fit_seconds,own_acc,own_auc,own_ece,common_acc,common_auc,common_ece,common_posrate_pred,sex_dp_diff,sex_tpr_gap,race_dp_diff,race_tpr_gap
adult,V1_workforce,hgb,3,33609,8403,0.24820732541878662,31.14,0.8757586576222778,0.9294572347426955,0.008094775671635966,0.8715,0.9268638804585622,0.008388608949548135,0.212,0.16352671486510317,0.05386570021322834,0.1352145851686629,0.027704678362573065
adult,V1_workforce,hgb,4,33609,8403,0.24820732541878662,43.61,0.8687373557062954,0.9227355804263434,0.006318340156700403,0.87125,0.9259652351793068,0.01414352408129999,0.20825,0.16130488450008815,0.05075924273286514,0.1320187687828407,0.021125730994152048
adult,V1_workforce,logreg,0,33609,8403,0.24820732541878662,0.66,0.8461263834344876,0.9054754318461604,0.01434898816286566,0.85075,0.9048411225978037,0.010419866155836831,0.20975,0.17031916769529187,0.07148258408213037,0.13768564163120967,0.09166666666666667
adult,V1_workforce,logreg,1,33609,8403,0.24820732541878662,0.55,0.8523146495299297,0.9089212538993304,0.010951445181585381,0.85425,0.9049285909617364,0.014254536815641834,0.20575,0.1643378592840769,0.05673372345716021,0.13361823895834504,0.06725146198830412
adult,V1_workforce,logreg,2,33609,8403,0.24820732541878662,0.72,0.8464833987861478,0.9074408629046004,0.01179690832034394,0.852,0.9046802612388469,0.013573939869107198,0.2045,0.16021160289190617,0.048102404098343876,0.13216559514660767,0.08289473684210524
adult,V1_workforce,logreg,3,33609,8403,0.24820732541878662,0.61,0.8512436034749494,0.9074731913200177,0.010635982572493029,0.85275,0.9047861616334935,0.012066525569245479,0.20475,0.16622817845177218,0.06408431034600215,0.13841352551967162,0.08508771929824566
adult,V1_workforce,logreg,4,33609,8403,0.24820732541878662,0.48,0.844103296441747,0.8984489342323163,0.007904651864517508,0.85175,0.9047878372726493,0.013032297417769548,0.20725,0.16545230118144946,0.061025539712925236,0.13536141153242987,0.08837719298245617
adult,V1_workforce,rf,0,33609,8403,0.24820732541878662,33.51,0.861716053790313,0.9178758455284565,0.026158720842297926,0.8625,0.9149810853852093,0.03048558337655541,0.1915,0.15544348439428674,0.05545299098718581,0.12090838659693977,0.07960526315789473
adult,V1_workforce,rf,1,33609,8403,0.24820732541878662,23.6,0.8629061049625134,0.9189215862900806,0.027088788416590983,0.8635,0.9149170759694579,0.03205048012112663,0.1905,0.157333803561982,0.06896880598946797,0.12243444359056062,0.07850877192982453
adult,V1_workforce,rf,2,33609,8403,0.24820732541878662,33.0,0.8580268951564918,0.9189347908541243,0.027429303069945753,0.86175,0.9146194824553879,0.02998037255789511,0.18975,0.15169811320754717,0.042529855372604564,0.1218533860658657,0.07412280701754381
adult,V1_workforce,rf,3,33609,8403,0.24820732541878662,20.02,0.8639771510174937,0.9185528829888939,0.027757277336153283,0.85975,0.9156096176325497,0.0319156043747651,0.19275,0.15618409451595838,0.06526966912140386,0.1217799728839822,0.052997076023391765
adult,V1_workforce,rf,4,33609,8403,0.24820732541878662,27.86,0.8569558491015113,0.9108417211405527,0.024581547919683155,0.86225,0.9141129367385895,0.03170316308417695,0.18925,0.15546464468347734,0.06280357787602775,0.1239605005841815,0.09744152046783627
adult,V3_drop,hgb,0,32977,8245,0.24783940322042636,87.21,0.8687689508793208,0.9260128851744887,0.005226776043754372,0.86975,0.9258018603616164,0.013468889436307191,0.20625,0.1605713278081467,0.03537001587290778,0.13151112444002924,0.010160818713450204
adult,V3_drop,hgb,1,32977,8245,0.24783940322042636,37.92,0.8730139478471801,0.9272489271693736,0.006551723265064725,0.871,0.9249042204658546,0.014790105520405713,0.2095,0.16430259213542586,0.046467426477100116,0.13499746958819892,0.018932748538011634
adult,V3_drop,hgb,2,32977,8245,0.24783940322042636,36.39,0.8713159490600364,0.9280630109529981,0.005263176538669309,0.8695,0.9249164526316918,0.014081041181260303,0.2035,0.14743078822077232,0.014455927134497282,0.1244650209618064,0.0024853801169589795
adult,V3_drop,hgb,3,32977,8245,0.24783940322042636,85.35,0.8642813826561553,0.9251001484844625,0.014687972126050875,0.8735,0.9260775030027454,0.013420223681126194,0.2115,0.16503614882736733,0.05080692958015143,0.1429885725353477,0.051023391812865526
adult,V3_drop,hgb,4,32977,8245,0.24783940322042636,16.44,0.8731352334748332,0.9291837868920436,0.007677955695035213,0.8695,0.9254844943055078,0.00917151264853127,0.2105,0.16128372421089754,0.045234380854412115,0.1307832405515673,0.02002923976608184
adult,V3_drop,logreg,0,32977,8245,0.24783940322042636,0.58,0.8485142510612492,0.9032569349441695,0.011867813538942937,0.853,0.9048347551690117,0.014295129494961712,0.207,0.16282137189208254,0.04997581595601919,0.13180165320237672,0.06725146198830412
adult,V3_drop,logreg,1,32977,8245,0.24783940322042636,0.72,0.8503335354760461,0.9077229914781252,0.009388268730027483,0.85225,0.9051735694063143,0.01485951584221834,0.20525,0.15907600070534295,0.04381058784257896,0.1330371814336501,0.061769005847953196
adult,V3_drop,logreg,2,32977,8245,0.24783940322042636,0.92,0.8509399636143117,0.9073780219950207,0.009452639597193366,0.85275,0.9046795909831846,0.013223717385709344,0.20725,0.16206665491095046,0.04321790845487805,0.12584425159166027,0.020614035087719307
adult,V3_drop,logreg,3,32977,8245,0.24783940322042636,0.53,0.8442692540933899,0.901379136062562,0.012124963235584764,0.8525,0.9050525882592656,0.01378238068358438,0.2085,0.16167871627578909,0.04568399970025416,0.13056612497110331,0.04612573099415207
adult,V3_drop,logreg,4,32977,8245,0.24783940322042636,0.59,0.8549423893268647,0.9102670526284055,0.014227863800383137,0.8535,0.9047590162791695,0.014284388718477582,0.208,0.16093105272438726,0.04015913782180103,0.1329637682517666,0.07054093567251463
adult,V3_drop,rf,0,32977,8245,0.24783940322042636,27.9,0.8557913887204366,0.9132665745169598,0.021566023448907793,0.86075,0.9138652772713625,0.030325719835389637,0.18775,0.15547875154293778,0.0689211191421818,0.11923862720473842,0.0675438596491228
adult,V3_drop,rf,1,32977,8245,0.24783940322042636,20.19,0.8636749545178897,0.9175272356997877,0.030928297331184743,0.8585,0.9137627281550273,0.031534397008159215,0.1935,0.1584341385998942,0.057278715997574725,0.12533973121403535,0.09744152046783627
adult,V3_drop,rf,2,32977,8245,0.24783940322042636,31.28,0.8623408126137053,0.9181098008426694,0.02896877026374412,0.8615,0.9147868788070521,0.032979432880098705,0.189,0.1528337153941104,0.06033748663065175,0.12040074225412832,0.09415204678362576
